request	Recommend list
가족과 함께 한식집 점심 나들이	['서울삼계탕', '황금나무숯불갈비', '경남복국', '송원왕갈비', '독불장군']
오랜만에 동창들과 고기집 회식	['서울삼계탕', '경남복국', '황금나무숯불갈비', '송원왕갈비', '독불장군']
연인과 가기 좋은 레스토랑	['서울삼계탕', '송원왕갈비', '독불장군', '황금나무숯불갈비', '경남복국']
맛집 혼밥 여행	['홍화', '송원왕갈비', '물꽁식당', '독불장군', '경남복국']
유기농 아이 간식	['소반(팔용동)', '수제갈비 창원중동점', '이바돔감자탕(용호동)', '임진각식당(팔용동)', '주남오리궁(동읍)']
아주 매운 쭈꾸미	['대원군숯불갈비', '참숯골', '장원', '석정원숯불갈비', '해훈식당']
날씨 추울 때 따뜻한 국물 요리	['서울삼계탕', '송원왕갈비', '경남복국', '황금나무숯불갈비', '독불장군']
날씨 더울 때 시원한 면 요리	['서울삼계탕', '송원왕갈비', '독불장군', '홍화', '경남복국']
일본식 덮밥	['파스타부오노(거창점)', '대식한우명가', '소반(팔용동)', '수제갈비 창원중동점', '이바돔감자탕(용호동)']
간단하게 먹기 좋은 컵밥	['서울삼계탕', '송원왕갈비', '독불장군', '황금나무숯불갈비', '경남복국']
드라이브 맛집	['서울삼계탕', '송원왕갈비', '황금나무숯불갈비', '경남복국', '독불장군']
풍경 좋은 맛집	['서울삼계탕', '황금나무숯불갈비', '경남복국', '송원왕갈비', '독불장군']
가족과 함께 하는 맛집	['서울삼계탕', '황금나무숯불갈비', '경남복국', '송원왕갈비', '독불장군']
조용하고 아늑한 맛집	['서울삼계탕', '송원왕갈비', '황금나무숯불갈비', '독불장군', '경남복국']
건강하게 먹기 좋은 맛집	['서울삼계탕', '황금나무숯불갈비', '경남복국', '송원왕갈비', '독불장군']
떡볶이가 맛있는 분식 집	['물꽁식당', '홍화', '독불장군', '송원왕갈비', '장보고횟집']
이색 메뉴가 있는 곳	['서울삼계탕', '경남복국', '황금나무숯불갈비', '독불장군', '송원왕갈비']
신선한 해물탕	['송원왕갈비', '독불장군', '물꽁식당', '옥포막썰이회해물', '황금나무숯불갈비']
정겹고 옛날 느낌 나는 맛집	['서울삼계탕', '황금나무숯불갈비', '경남복국', '송원왕갈비', '독불장군']
인심 좋고 양 많은 맛집	['서울삼계탕', '송원왕갈비', '황금나무숯불갈비', '경남복국', '독불장군']
건강식 맛집	['서울삼계탕', '경남복국', '황금나무숯불갈비', '송원왕갈비', '독불장군']
골목맛집 투어 여행	['서울삼계탕', '송원왕갈비', '경남복국', '독불장군', '황금나무숯불갈비']
차타고 가기좋은 식당	['서울삼계탕', '황금나무숯불갈비', '경남복국', '송원왕갈비', '독불장군']
날씨좋은 날 나들이 맛집	['서울삼계탕', '경남복국', '황금나무숯불갈비', '송원왕갈비', '독불장군']
어버이날 부모님	['서울삼계탕', '경남복국', '황금나무숯불갈비', '송원왕갈비', '독불장군']
육즙가득 고기집	['소반(팔용동)', '수제갈비 창원중동점', '이바돔감자탕(용호동)', '임진각식당(팔용동)', '주남오리궁(동읍)']
가벼운 맥주와 어울리는 맛집	['서울삼계탕', '황금나무숯불갈비', '경남복국', '송원왕갈비', '독불장군']
여름휴가때 가기좋은 식당	['서울삼계탕', '송원왕갈비', '독불장군', '황금나무숯불갈비', '경남복국']
더운여름 몸보신 메뉴	['서울삼계탕', '송원왕갈비', '독불장군', '경남복국', '황금나무숯불갈비']
인생 맛집	['송원왕갈비', '옥포막썰이회해물', '독불장군', '물꽁식당', '경남복국']
바다 풍경이 예쁜 레스토랑	['아자방', '홍화', '삼포복집', '물꽁식당', '목포밴댕이']
부모님과 함께 하기 위한 맛집 추천	['서울삼계탕', '송원왕갈비', '황금나무숯불갈비', '경남복국', '독불장군']
아이가 좋아하는 갈비 맛집	['서울삼계탕', '황금나무숯불갈비', '경남복국', '송원왕갈비', '독불장군']
국물이 시원한 해물탕	['서울삼계탕', '송원왕갈비', '독불장군', '황금나무숯불갈비', '경남복국']
신선하고 가성비 좋은 횟집 추천	['서울삼계탕', '황금나무숯불갈비', '송원왕갈비', '독불장군', '경남복국']
포장가능한 근처 낙지 맛집	['서울삼계탕', '경남복국', '황금나무숯불갈비', '송원왕갈비', '독불장군']
푸짐한 매운탕	['물꽁식당', '풍전복집', '아자방', '목포밴댕이', '홍화']
단체 모임하기 좋은 맛집 추천	['서울삼계탕', '경남복국', '황금나무숯불갈비', '송원왕갈비', '독불장군']
해물이 푸짐한 식당	['독불장군', '송원왕갈비', '물꽁식당', '경남복국', '황금나무숯불갈비']
특별한 날 기념하기 좋은 식당 추천	['서울삼계탕', '송원왕갈비', '독불장군', '황금나무숯불갈비', '경남복국']
부모님 칠순잔치 하기 좋은 곳	['서울삼계탕', '황금나무숯불갈비', '경남복국', '송원왕갈비', '독불장군']
연인과 화해하기 좋은 식당 추천	['서울삼계탕', '송원왕갈비', '독불장군', '황금나무숯불갈비', '경남복국']
10년만의 동창회 모임하기 좋은 식당	['서울삼계탕', '황금나무숯불갈비', '경남복국', '송원왕갈비', '독불장군']
골프 라운딩 후 꼭 가야하는 음식 추천	['서울삼계탕', '송원왕갈비', '황금나무숯불갈비', '독불장군', '경남복국']
직원들과 회식하기 좋은 식당	['서울삼계탕', '황금나무숯불갈비', '경남복국', '송원왕갈비', '독불장군']
죽기 전에 꼭 가야하는 국내 한식집	['서울삼계탕', '송원왕갈비', '황금나무숯불갈비', '독불장군', '경남복국']
콜키지가 필요없는 식당 추천	['송원왕갈비', '독불장군', '서울삼계탕', '옥포막썰이회해물', '경남복국']
반포 한강지구에서 꼭 시켜먹는 배달 맛집	['서울삼계탕', '황금나무숯불갈비', '경남복국', '송원왕갈비', '독불장군']
춘천 자전거 여행 시 꼭 들려야 하는 집	['서울삼계탕', '황금나무숯불갈비', '경남복국', '송원왕갈비', '독불장군']
간장 게장 맛집 추천	['서울삼계탕', '송원왕갈비', '황금나무숯불갈비', '경남복국', '독불장군']
